,covid_hospital_admissions_per_100k,covid_cases_per_100k,doses_per_100k,case_rate_per_100k,death_rate_per_100k,clusters,cluster
368,2.7,22.41,215187.0,29613.0,408.0,2,dark purple
369,0.8,135.47,215187.0,29613.0,408.0,2,dark purple
370,2.6,6.04,215187.0,29613.0,408.0,2,dark purple
371,6.5,26.41,215187.0,29613.0,408.0,2,dark purple
372,7.0,10.35,215187.0,29613.0,408.0,2,dark purple
373,6.9,26.81,215187.0,29613.0,408.0,2,dark purple
374,6.9,39.96,215187.0,29613.0,408.0,2,dark purple
375,2.9,24.14,215187.0,29613.0,408.0,2,dark purple
376,17.3,45.01,215187.0,29613.0,408.0,2,dark purple
377,1.0,69.36,215187.0,29613.0,408.0,2,dark purple
378,0.8,113.2,215187.0,29613.0,408.0,2,dark purple
379,6.9,20.47,215187.0,29613.0,408.0,2,dark purple
380,2.7,12.25,215187.0,29613.0,408.0,2,dark purple
381,2.7,48.2,215187.0,29613.0,408.0,2,dark purple
382,3.9,46.55,215187.0,29613.0,408.0,2,dark purple
383,4.4,44.75,215187.0,29613.0,408.0,2,dark purple
384,4.4,80.97,215187.0,29613.0,408.0,2,dark purple
385,4.4,114.76,215187.0,29613.0,408.0,2,dark purple
386,4.4,18.99,215187.0,29613.0,408.0,2,dark purple
387,4.4,118.8,215187.0,29613.0,408.0,2,dark purple
388,4.4,79.87,215187.0,29613.0,408.0,2,dark purple
389,4.4,10.28,215187.0,29613.0,408.0,2,dark purple
390,1.0,52.81,215187.0,29613.0,408.0,2,dark purple
391,1.0,15.04,215187.0,29613.0,408.0,2,dark purple
392,0.0,60.45,215187.0,29613.0,408.0,2,dark purple
393,0.0,65.65,215187.0,29613.0,408.0,2,dark purple
394,0.0,18.76,215187.0,29613.0,408.0,2,dark purple
395,1.7,15.97,215187.0,29613.0,408.0,2,dark purple
396,1.7,9.65,215187.0,29613.0,408.0,2,dark purple
397,1.7,55.03,215187.0,29613.0,408.0,2,dark purple
398,1.7,36.75,215187.0,29613.0,408.0,2,dark purple
399,1.7,22.4,215187.0,29613.0,408.0,2,dark purple
400,0.0,19.22,215187.0,29613.0,408.0,2,dark purple
401,0.0,51.63,215187.0,29613.0,408.0,2,dark purple
402,1.0,15.94,215187.0,29613.0,408.0,2,dark purple
403,1.0,32.58,215187.0,29613.0,408.0,2,dark purple
404,1.0,23.73,215187.0,29613.0,408.0,2,dark purple
405,1.0,12.7,215187.0,29613.0,408.0,2,dark purple
406,0.0,25.71,215187.0,29613.0,408.0,2,dark purple
407,2.0,49.72,215187.0,29613.0,408.0,2,dark purple
408,2.0,16.38,215187.0,29613.0,408.0,2,dark purple
409,1.0,86.93,215187.0,29613.0,408.0,2,dark purple
410,3.1,62.97,215187.0,29613.0,408.0,2,dark purple
411,3.1,17.87,215187.0,29613.0,408.0,2,dark purple
412,3.1,22.33,215187.0,29613.0,408.0,2,dark purple
413,3.1,12.11,215187.0,29613.0,408.0,2,dark purple
414,3.1,13.13,215187.0,29613.0,408.0,2,dark purple
415,3.1,150.81,215187.0,29613.0,408.0,2,dark purple
416,3.1,22.02,215187.0,29613.0,408.0,2,dark purple
417,3.1,51.45,215187.0,29613.0,408.0,2,dark purple
418,0.8,95.56,215187.0,29613.0,408.0,2,dark purple
419,0.8,55.19,215187.0,29613.0,408.0,2,dark purple
420,0.8,49.32,215187.0,29613.0,408.0,2,dark purple
421,0.8,70.22,215187.0,29613.0,408.0,2,dark purple
422,1.0,19.82,215187.0,29613.0,408.0,2,dark purple
423,1.0,16.6,215187.0,29613.0,408.0,2,dark purple
424,1.0,27.09,215187.0,29613.0,408.0,2,dark purple
425,1.0,7.9,215187.0,29613.0,408.0,2,dark purple
426,2.2,24.54,215187.0,29613.0,408.0,2,dark purple
427,2.2,144.74,215187.0,29613.0,408.0,2,dark purple
428,5.4,10.56,215187.0,29613.0,408.0,2,dark purple
429,5.4,6.71,215187.0,29613.0,408.0,2,dark purple
430,1.0,4.89,215187.0,29613.0,408.0,2,dark purple
431,1.0,8.27,215187.0,29613.0,408.0,2,dark purple
432,1.0,5.59,215187.0,29613.0,408.0,2,dark purple
433,1.0,15.27,215187.0,29613.0,408.0,2,dark purple
434,9.5,3.87,215187.0,29613.0,408.0,2,dark purple
435,9.5,20.22,215187.0,29613.0,408.0,2,dark purple
436,9.5,42.91,215187.0,29613.0,408.0,2,dark purple
